0,1,2,3
Assassin's Creed: Brotherhood,8.6,2010,Ubisoft Entertainment Inc.
Forza Horizon 3,8.6,2016,Playground Games Ltd
Guacamelee! Super Turbo Championship Edition,8.6,2014,DrinkBox Studios Inc.
Mario + Rabbids: Sparks of Hope,8.6,2022,Ubisoft Paris Studios SARL
Real Racing 2,8.6,2010,Firemint Pty Ltd.
Empire: Total War,8.5,2009,"Creative Assembly Ltd., The"
Resistance 2,8.5,2008,"Insomniac Games, Inc."
CTR: Crash Team Racing,8.5,1999,"Naughty Dog, Inc."
Sonic The Hedgehog Pocket Adventure,8.5,1999,SNK Corporation
StarCraft II: Wings of Liberty (Collector's Editio...,8.5,2010,
Ridiculous Fishing,8.5,2013,Vlambeer
Half-Life 2: Episode Two,8.5,2007,Valve Corporation
Dragon Quest XI S: Echoes of an Elusive Age - Defi...,8.5,2019,"Square Enix Co., Ltd."
Fight Night Round 4,8.5,2009,Electronic Arts Canada
Age of Mythology,8.5,2002,Ensemble Studios Corporation
The Elder Scrolls IV: Oblivion,8.5,2006,Bethesda Game Studios
Pizza Tower,8.6,2023,Tour De Pizza
Horizon: Zero Dawn,8.6,2017,Guerrilla B.V.
Assassin's Creed: Brotherhood,8.6,2010,Ubisoft Entertainment Inc.
Forza Horizon 3,8.6,2016,Playground Games Ltd
Guacamelee! Super Turbo Championship Edition,8.6,2014,DrinkBox Studios Inc.
Mario + Rabbids: Sparks of Hope,8.6,2022,Ubisoft Paris Studios SARL
Real Racing 2,8.6,2010,Firemint Pty Ltd.
Empire: Total War,8.5,2009,"Creative Assembly Ltd., The"
Resistance 2,8.5,2008,"Insomniac Games, Inc."
CTR: Crash Team Racing,8.5,1999,"Naughty Dog, Inc."
Sonic The Hedgehog Pocket Adventure,8.5,1999,SNK Corporation
StarCraft II: Wings of Liberty (Collector's Editio...,8.5,2010,
Ridiculous Fishing,8.5,2013,Vlambeer
Half-Life 2: Episode Two,8.5,2007,Valve Corporation
Dragon Quest XI S: Echoes of an Elusive Age - Defi...,8.5,2019,"Square Enix Co., Ltd."
Fight Night Round 4,8.5,2009,Electronic Arts Canada
Age of Mythology,8.5,2002,Ensemble Studios Corporation
The Elder Scrolls IV: Oblivion,8.5,2006,Bethesda Game Studios
Pizza Tower,8.6,2023,Tour De Pizza
Horizon: Zero Dawn,8.6,2017,Guerrilla B.V.
Assassin's Creed: Brotherhood,8.6,2010,Ubisoft Entertainment Inc.
Forza Horizon 3,8.6,2016,Playground Games Ltd
Guacamelee! Super Turbo Championship Edition,8.6,2014,DrinkBox Studios Inc.
Mario + Rabbids: Sparks of Hope,8.6,2022,Ubisoft Paris Studios SARL
Real Racing 2,8.6,2010,Firemint Pty Ltd.
Empire: Total War,8.5,2009,"Creative Assembly Ltd., The"
Resistance 2,8.5,2008,"Insomniac Games, Inc."
CTR: Crash Team Racing,8.5,1999,"Naughty Dog, Inc."
Sonic The Hedgehog Pocket Adventure,8.5,1999,SNK Corporation
StarCraft II: Wings of Liberty (Collector's Editio...,8.5,2010,
Ridiculous Fishing,8.5,2013,Vlambeer
Half-Life 2: Episode Two,8.5,2007,Valve Corporation
Dragon Quest XI S: Echoes of an Elusive Age - Defi...,8.5,2019,"Square Enix Co., Ltd."
Fight Night Round 4,8.5,2009,Electronic Arts Canada
Age of Mythology,8.5,2002,Ensemble Studios Corporation
The Elder Scrolls IV: Oblivion,8.5,2006,Bethesda Game Studios
Pizza Tower,8.6,2023,Tour De Pizza
Horizon: Zero Dawn,8.6,2017,Guerrilla B.V.
Assassin's Creed: Brotherhood,8.6,2010,Ubisoft Entertainment Inc.
Forza Horizon 3,8.6,2016,Playground Games Ltd
Guacamelee! Super Turbo Championship Edition,8.6,2014,DrinkBox Studios Inc.
Mario + Rabbids: Sparks of Hope,8.6,2022,Ubisoft Paris Studios SARL
Real Racing 2,8.6,2010,Firemint Pty Ltd.
Empire: Total War,8.5,2009,"Creative Assembly Ltd., The"
Resistance 2,8.5,2008,"Insomniac Games, Inc."
CTR: Crash Team Racing,8.5,1999,"Naughty Dog, Inc."
Sonic The Hedgehog Pocket Adventure,8.5,1999,SNK Corporation
StarCraft II: Wings of Liberty (Collector's Editio...,8.5,2010,
Ridiculous Fishing,8.5,2013,Vlambeer
Half-Life 2: Episode Two,8.5,2007,Valve Corporation
Dragon Quest XI S: Echoes of an Elusive Age - Defi...,8.5,2019,"Square Enix Co., Ltd."
Fight Night Round 4,8.5,2009,Electronic Arts Canada
Age of Mythology,8.5,2002,Ensemble Studios Corporation
The Elder Scrolls IV: Oblivion,8.5,2006,Bethesda Game Studios
Pizza Tower,8.6,2023,Tour De Pizza
Horizon: Zero Dawn,8.6,2017,Guerrilla B.V.
Assassin's Creed: Brotherhood,8.6,2010,Ubisoft Entertainment Inc.
Forza Horizon 3,8.6,2016,Playground Games Ltd
Guacamelee! Super Turbo Championship Edition,8.6,2014,DrinkBox Studios Inc.
Mario + Rabbids: Sparks of Hope,8.6,2022,Ubisoft Paris Studios SARL
Real Racing 2,8.6,2010,Firemint Pty Ltd.
Empire: Total War,8.5,2009,"Creative Assembly Ltd., The"
Resistance 2,8.5,2008,"Insomniac Games, Inc."
CTR: Crash Team Racing,8.5,1999,"Naughty Dog, Inc."
Sonic The Hedgehog Pocket Adventure,8.5,1999,SNK Corporation
StarCraft II: Wings of Liberty (Collector's Editio...,8.5,2010,
Ridiculous Fishing,8.5,2013,Vlambeer
Half-Life 2: Episode Two,8.5,2007,Valve Corporation
Dragon Quest XI S: Echoes of an Elusive Age - Defi...,8.5,2019,"Square Enix Co., Ltd."
Fight Night Round 4,8.5,2009,Electronic Arts Canada
Age of Mythology,8.5,2002,Ensemble Studios Corporation
The Elder Scrolls IV: Oblivion,8.5,2006,Bethesda Game Studios
Pizza Tower,8.6,2023,Tour De Pizza
Horizon: Zero Dawn,8.6,2017,Guerrilla B.V.
Assassin's Creed: Brotherhood,8.6,2010,Ubisoft Entertainment Inc.
Forza Horizon 3,8.6,2016,Playground Games Ltd
Guacamelee! Super Turbo Championship Edition,8.6,2014,DrinkBox Studios Inc.
Mario + Rabbids: Sparks of Hope,8.6,2022,Ubisoft Paris Studios SARL
Real Racing 2,8.6,2010,Firemint Pty Ltd.
Empire: Total War,8.5,2009,"Creative Assembly Ltd., The"
Resistance 2,8.5,2008,"Insomniac Games, Inc."
CTR: Crash Team Racing,8.5,1999,"Naughty Dog, Inc."
Sonic The Hedgehog Pocket Adventure,8.5,1999,SNK Corporation
StarCraft II: Wings of Liberty (Collector's Editio...,8.5,2010,
Ridiculous Fishing,8.5,2013,Vlambeer
Half-Life 2: Episode Two,8.5,2007,Valve Corporation
Dragon Quest XI S: Echoes of an Elusive Age - Defi...,8.5,2019,"Square Enix Co., Ltd."
Fight Night Round 4,8.5,2009,Electronic Arts Canada
Age of Mythology,8.5,2002,Ensemble Studios Corporation
The Elder Scrolls IV: Oblivion,8.5,2006,Bethesda Game Studios
